name,year,citationcount,affiliation,paperID
John Van Rosendale,1996,81,"Division of Advanced Scientific Computing, National Science Foundation, Arlington, VA",53e9a52cb7602d9702e4d294
Willem Vermeer,1996,81,"Department of Applied Mathematics and Informatics, Delft University of Technology, Julianalaan 132 2628 BL Delft, The Netherland",53e9a52cb7602d9702e4d294
Eric B. Lum,2006,34,"University of California at Davis, One Shields Avenue, 95616, Davis, CA, USA",53e9a533b7602d9702e591a0
James Shearer,2006,34,"University of California at Davis, One Shields Avenue, 95616, Davis, CA, USA",53e9a533b7602d9702e591a0
Kwan-Liu Ma,2006,34,"University of California at Davis, One Shields Avenue, 95616, Davis, CA, USA",53e9a533b7602d9702e591a0
Soon Tee Teoh,2002,114,,53e9a540b7602d9702e63623
Kwan-Liu Ma,2002,114,,53e9a540b7602d9702e63623
Yang Wang,2013,19,"University of California, Davis",53e9a54eb7602d9702e756ae
Hongfeng Yu,2013,19,University of Nebraska-Lincoln,53e9a54eb7602d9702e756ae
Kwan-Liu Ma,2013,19,"University of California, Davis",53e9a54eb7602d9702e756ae
Ben Shneiderman,2003,147,"Dept. of Comput. Sci., Maryland Univ., College Park, MD, USA|c|",53e9a54eb7602d9702e760fe
James Slack,2004,37,,53e9a55bb7602d9702e7e86f
Kristian Hildebrand,2004,37,,53e9a55bb7602d9702e7e86f
Tamara Munzner,2004,37,,53e9a55bb7602d9702e7e86f
Katherine St. John,2004,37,,53e9a55bb7602d9702e7e86f
Carmen Sigovan,2013,37,"University of California, Davis",53e9a569b7602d9702e91974
Chris W. Muelder,2013,37,"University of California, Davis",53e9a569b7602d9702e91974
Kwan-Liu Ma,2013,37,"University of California, Davis",53e9a569b7602d9702e91974
Mario Romero,2008,51,Georgia Tech,53e9a56fb7602d9702e94446
Jay Summet,2008,51,Georgia Tech,53e9a56fb7602d9702e94446
John Stasko,2008,51,Georgia Tech,53e9a56fb7602d9702e94446
Gregory Abowd,2008,51,Georgia Tech,53e9a56fb7602d9702e94446
Ben Shneiderman,2005,21,"University of Maryland, College Park, MD",53e9a57cb7602d9702ea571f
James Slack,2005,18,University of British Columbia,53e9a584b7602d9702eb025f
Kristian Hildebrand,2005,18,Bauhaus University Weimar,53e9a584b7602d9702eb025f
Tamara Munzner,2005,18,University of British Columbia,53e9a584b7602d9702eb025f
Jack Kustanowitz,2005,36,"University of Maryland, College Park, MD",53e9a58bb7602d9702eb3788
Ben Shneiderman,2005,36,"University of Maryland, College Park, MD",53e9a58bb7602d9702eb3788
Egemen Tanin,2007,17,"Department of Computer Science and Software Engineering, University of Melbourne, Australia and Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Comput ...",53e9a593b7602d9702eb94cb
Ben Shneiderman,2007,17,"Department of Computer Science, Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, University of Maryland at College Park, USA",53e9a593b7602d9702eb94cb
Hairuo Xie,2007,17,"Department of Computer Science and Software Engineering, University of Melbourne, Australia",53e9a593b7602d9702eb94cb
Heidi Lam,2008,20,University of British Columbia,53e9a5a8b7602d9702ed54f9
Tamara Munzner,2008,20,University of British Columbia,53e9a5a8b7602d9702ed54f9
Zeqian Shen,2006,274,IEEE,53e9a5afb7602d9702edbc18
Kwan-Liu Ma,2006,274,IEEE,53e9a5afb7602d9702edbc18
Tina Eliassi-Rad,2006,274,IEEE,53e9a5afb7602d9702edbc18
Cheng-Kai Chen,2011,47,"UC Davis, USA",53e9a5beb7602d9702ee88e5
Chaoli Wang,2011,47,"Michigan Tech, USA",53e9a5beb7602d9702ee88e5
Kwan-Liu Ma,2011,47,"UC Davis, USA",53e9a5beb7602d9702ee88e5
Andrew T. Wittenberg,2011,47,"NOAA, USA",53e9a5beb7602d9702ee88e5
Sheng-Jie Luo,2011,0,National Taiwan University,53e9a5cdb7602d9702ef713c
Shih-Wen Huang,2011,0,National Taiwan University,53e9a5cdb7602d9702ef713c
En-Hsu Yen,2011,0,National Taiwan University,53e9a5cdb7602d9702ef713c
Li-Ting Huang,2011,0,National Taiwan University,53e9a5cdb7602d9702ef713c
Bing-Yu Chen,2011,0,National Taiwan University,53e9a5cdb7602d9702ef713c
Kwan-Liu Ma,2011,0,"University of California, Davis",53e9a5cdb7602d9702ef713c
Kwan-Liu Ma,2005,18,,53e9a5d3b7602d9702efe56e
Stephen C. North,2005,18,,53e9a5d3b7602d9702efe56e
William Yurcik,2005,18,,53e9a5d3b7602d9702efe56e
Ben Shneiderman,1997,368,,53e9a5e2b7602d9702f0b9a7
donald byrd,1997,368,,53e9a5e2b7602d9702f0b9a7
W. B Croft,1997,368,,53e9a5e2b7602d9702f0b9a7
Mario Romero,2011,13,"Georgia Institute of Technology, Atlanta, Georgia, USA",53e9a5f0b7602d9702f1db29
Alice Vialard,2011,13,"Georgia Institute of Technology, Atlanta, Georgia, USA",53e9a5f0b7602d9702f1db29
John Peponis,2011,13,"Georgia Institute of Technology, Atlanta, Georgia, USA",53e9a5f0b7602d9702f1db29
John Stasko,2011,13,"Georgia Institute of Technology, Atlanta, Georgia, USA",53e9a5f0b7602d9702f1db29
Gregory Abowd,2011,13,"Georgia Institute of Technology, Atlanta, Georgia, USA",53e9a5f0b7602d9702f1db29
Youn-Ah Kang,2011,75,"Georgia Institute of Technology, Atlanta",53e9a618b7602d9702f4aaca
Carsten Görg,2011,75,"Georgia Institute of Technology, Atlanta",53e9a618b7602d9702f4aaca
John Stasko,2011,75,"Georgia Institute of Technology, Atlanta",53e9a618b7602d9702f4aaca
Nan Cao,2011,36,,53e9a627b7602d9702f52b36
David Gotz,2011,36,,53e9a627b7602d9702f52b36
Jimeng Sun,2011,36,,53e9a627b7602d9702f52b36
Yu-Ru Lin,2011,36,,53e9a627b7602d9702f52b36
Huamin Qu,2011,36,,53e9a627b7602d9702f52b36
Wai-Ho Mak,2008,3,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology,",53e9a64ab7602d9702f7c391
Ming-Yuen Chan,2008,3,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology,",53e9a64ab7602d9702f7c391
Yingcai Wu,2008,3,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology,",53e9a64ab7602d9702f7c391
Ka-Kei Chung,2008,3,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology,",53e9a64ab7602d9702f7c391
Huamin Qu,2008,3,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology,",53e9a64ab7602d9702f7c391
Ben Shneiderman,2002,16,"Dept of Computer Science, University of Maryland, College Park, MD 20742",53e9a660b7602d9702f919ce
Shih Ming Tseng,2007,2,"University of California, Davis, California",53e9a67cb7602d9702fad401
Ke Zhang,2007,2,"University of California, Davis, California",53e9a67cb7602d9702fad401
S. Felix Wu,2007,2,"University of California, Davis, California",53e9a67cb7602d9702fad401
Kwan-Liu Ma,2007,2,"University of California, Davis, California",53e9a67cb7602d9702fad401
Soon Tee Teoh,2007,2,"San Jose State University, San Jose, California",53e9a67cb7602d9702fad401
Xiaoliang Zhao,2007,2,"San Jose State University, San Jose, California",53e9a67cb7602d9702fad401
Dugald Ralph Hutchings,2005,33,"Georgia Institute of Technology/GVU Center, Atlanta, GA",53e9a689b7602d9702fba419
John Stasko,2005,33,"Georgia Institute of Technology/GVU Center, Atlanta, GA",53e9a689b7602d9702fba419
Anthony Don,2007,196,"University of Maryland, College Park, MD",53e9a698b7602d9702fc8b90
Elena Zheleva,2007,196,"University of Maryland, College Park, MD",53e9a698b7602d9702fc8b90
Machon Gregory,2007,196,"University of Maryland, College Park, MD",53e9a698b7602d9702fc8b90
Sureyya Tarkan,2007,196,"University of Maryland, College Park, MD",53e9a698b7602d9702fc8b90
Loretta Auvil,2007,196,"University of Illinois, Urbana, IL",53e9a698b7602d9702fc8b90
Tanya Clement,2007,196,"University of Maryland, College Park",53e9a698b7602d9702fc8b90
Ben Shneiderman,2007,196,"University of Maryland, College Park, MD",53e9a698b7602d9702fc8b90
Catherine Plaisant,2007,196,"University of Maryland, College Park, MD",53e9a698b7602d9702fc8b90
James A. Jones,2002,1419,"Georgia Institute of Technology, Atlanta, GA",53e9a69fb7602d9702fd26da
Mary Jean Harrold,2002,1419,"Georgia Institute of Technology, Atlanta, GA",53e9a69fb7602d9702fd26da
John Stasko,2002,1419,"Georgia Institute of Technology, Atlanta, GA",53e9a69fb7602d9702fd26da
Richard H.C. Seabrook,1989,12,"Anne Arundel Community College, Arnold, MD",53e9a6bbb7602d9702fec6a8
Ben Shneiderman,1989,12,"Univ. of Maryland, College Park, MD",53e9a6bbb7602d9702fec6a8
Peter McLachlan,2008,253,"University of British Columbia, Vancouver, BC, Canada",53e9a6bbb7602d9702fed6f1
Tamara Munzner,2008,253,"University of British Columbia, Vancouver, BC, Canada",53e9a6bbb7602d9702fed6f1
Eleftherios Koutsofios,2008,253,"AT&T Labs Inc. - Research, Florham Park, NJ, USA",53e9a6bbb7602d9702fed6f1
Stephen C. North,2008,253,"AT&T Labs Inc. - Research, Florham Park, NJ, USA",53e9a6bbb7602d9702fed6f1
Jeff A. Stuart,2010,83,UC Davis,53e9a6d0b7602d9703002dd5
Cheng-Kai Chen,2010,83,UC Davis,53e9a6d0b7602d9703002dd5
Kwan-Liu Ma,2010,83,UC Davis,53e9a6d0b7602d9703002dd5
John D. Owens,2010,83,UC Davis,53e9a6d0b7602d9703002dd5
Hongfeng Yu,2004,80,University of California at Davis,53e9a6d8b7602d970300f518
Kwan-Liu Ma,2004,80,University of California at Davis,53e9a6d8b7602d970300f518
Joel Welling,2004,80,Pittsburgh Supercomputing Center,53e9a6d8b7602d970300f518
Robert Jacob,2012,0,,53e9a711b7602d970304ae23
Jayesh Krishna,2012,0,,53e9a711b7602d970304ae23
Xiabing Xu,2012,0,,53e9a711b7602d970304ae23
Sheri Mickelson,2012,0,,53e9a711b7602d970304ae23
Tim Tautges,2012,0,,53e9a711b7602d970304ae23
Mike Wilde,2012,0,,53e9a711b7602d970304ae23
Robert Latham,2012,0,,53e9a711b7602d970304ae23
Ian Foster,2012,0,,53e9a711b7602d970304ae23
Robert Ross,2012,0,,53e9a711b7602d970304ae23
Mark Hereld,2012,0,,53e9a711b7602d970304ae23
Jay Larson,2012,0,,53e9a711b7602d970304ae23
Pavel Bochev,2012,0,,53e9a711b7602d970304ae23
Kara Peterson,2012,0,,53e9a711b7602d970304ae23
Mark Taylor,2012,0,,53e9a711b7602d970304ae23
Karen Schuchardt,2012,0,,53e9a711b7602d970304ae23
Jain Yin,2012,0,,53e9a711b7602d970304ae23
Don Middleton,2012,0,,53e9a711b7602d970304ae23
Mary Haley,2012,0,,53e9a711b7602d970304ae23
David Brown,2012,0,,53e9a711b7602d970304ae23
Wei Huang,2012,0,,53e9a711b7602d970304ae23
Dennis Shea,2012,0,,53e9a711b7602d970304ae23
Richard Brownrigg,2012,0,,53e9a711b7602d970304ae23
Mariana Vertenstein,2012,0,,53e9a711b7602d970304ae23
Kwan-Liu Ma,2012,0,,53e9a711b7602d970304ae23
Jingrong Xie,2012,0,,53e9a711b7602d970304ae23
Taowei David Wang,2011,84,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland, College Park, USA 20742 and , Boston, USA 02129",53e9a718b7602d9703050195
Krist Wongsuphasawat,2011,84,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland, College Park, USA 20742",53e9a718b7602d9703050195
Catherine Plaisant,2011,84,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland, College Park, USA 20742",53e9a718b7602d9703050195
Ben Shneiderman,2011,84,"Department of Computer Science & Human-Computer Interaction Lab, University of Maryland, College Park, USA 20742",53e9a718b7602d9703050195
Toshiyuki Asahi,1995,116,,53e9a72eb7602d9703066d35
David Turo,1995,116,,53e9a72eb7602d9703066d35
Ben Shneiderman,1995,116,,53e9a72eb7602d9703066d35
Dale Beermann,2005,28,University of Virginia,53e9a72eb7602d9703066c97
Tamara Munzner,2005,28,University of British Columbia,53e9a72eb7602d9703066c97
Greg Humphreys,2005,28,University of Virginia,53e9a72eb7602d9703066c97
Carsten Gorg,2007,26,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: goerg@cc.gatech.edu",53e9a73bb7602d9703071886
Zhicheng Liu,2007,26,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: zcliu@cc.gatech.edu",53e9a73bb7602d9703071886
Neel Parekh,2007,26,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: justneel@gmail.com",53e9a73bb7602d9703071886
Kanupriya Singhal,2007,26,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: ksinghal@cc.gatech.edu",53e9a73bb7602d9703071886
John Stasko,2007,26,"School of Interactive Computing&GVU Center, Georgia Institute of Technology. e-mail: stasko@cc.gatech.edu",53e9a73bb7602d9703071886
Scott T. Leutenegger,1998,2,,53e9a75fb7602d9703097243
Kwan-Liu Ma,1998,2,,53e9a75fb7602d9703097243
Hyunmo Kang,2003,31,"University of Maryland, College Park, MD",53e9a77bb7602d97030b4e73
Catherine Plaisant,2003,31,"University of Maryland, College Park, MD",53e9a77bb7602d97030b4e73
Ben Shneiderman,2003,31,"University of Maryland, College Park, MD",53e9a77bb7602d97030b4e73
Aleks Aris,2005,72,"Human-Computer Interaction Laboratory, University of Maryland Institute for Advanced Computer Studies",53e9a781b7602d97030b9ac9
Ben Shneiderman,2005,72,"Human-Computer Interaction Laboratory, University of Maryland Institute for Advanced Computer Studies",53e9a781b7602d97030b9ac9
Catherine Plaisant,2005,72,"Human-Computer Interaction Laboratory, University of Maryland Institute for Advanced Computer Studies",53e9a781b7602d97030b9ac9
Galit Shmueli,2005,72,"Department of Decision and Information Technologies, Robert H. Smith School of Business, University of Maryland, College Park, MD",53e9a781b7602d97030b9ac9
Wolfgang Jank,2005,72,"Department of Decision and Information Technologies, Robert H. Smith School of Business, University of Maryland, College Park, MD",53e9a781b7602d97030b9ac9
Stephanie W. Haas,2005,0,,53e9a791b7602d97030cd04d
Laurie Brown,2005,0,,53e9a791b7602d97030cd04d
Sheila Denn,2005,0,,53e9a791b7602d97030cd04d
David Locke,2005,0,,53e9a791b7602d97030cd04d
Ben Shneiderman,2005,0,,53e9a791b7602d97030cd04d
Irene Greif,1987,1,M. I. T. Laboratory for Computer Science,53e9a79eb7602d97030d8b51
Bill Curtis,1987,1,MCC,53e9a79eb7602d97030d8b51
Herb Krasner,1987,1,MCC,53e9a79eb7602d97030d8b51
Thomas W. Malone,1987,1,M. I. T,53e9a79eb7602d97030d8b51
Ben Shneiderman,1987,1,University of Maryland,53e9a79eb7602d97030d8b51
Shixia Liu,2010,0,"IBM Research China, Beijing, China",53e9a7a5b7602d97030e2c2c
Michelle X. Zhou,2010,0,"IBM Research China, Beijing, China",53e9a7a5b7602d97030e2c2c
Giuseppe Carenini,2010,0,"University of British Columbia, Vancouver, BC, Canada",53e9a7a5b7602d97030e2c2c
Huamin Qu,2010,0,"Hong Kong University of Science and Technology, Hong Kong, China",53e9a7a5b7602d97030e2c2c
Cheng-Kai Chen,2011,48,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9a7acb7602d97030eaf20
Shi Yan,2011,48,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9a7acb7602d97030eaf20
Hongfeng Yu,2011,48,"Sandia Natl Labs, Livermore, CA 94550 USA",53e9a7acb7602d97030eaf20
Nelson Max,2011,48,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9a7acb7602d97030eaf20
Kwan-Liu Ma,2011,48,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9a7acb7602d97030eaf20
Ben Shneiderman,1998,192,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA",53e9a7c8b7602d970310835c
Ben Shneiderman,1987,71,,53e9a7eab7602d970312a692
Chongke Bi,2013,10,,53e9a7f8b7602d970313c0d2
Kenji Ono,2013,10,,53e9a7f8b7602d970313c0d2
Kwan-Liu Ma,2013,10,,53e9a7f8b7602d970313c0d2
Haiyuan Wu,2013,10,,53e9a7f8b7602d970313c0d2
Toshiyuki Imamura,2013,10,,53e9a7f8b7602d970313c0d2
Yubo Zhang,2013,42,"University of California, Davis",53e9a7ffb7602d970314324b
Kwan-Liu Ma,2013,42,"University of California, Davis",53e9a7ffb7602d970314324b
Zhijun Zhang,1999,125,"Department of Computer Science University of Maryland College Park, MD20742",53e9a7ffb7602d9703143460
Victor R. Basili,1999,125,"Department of Computer Science University of Maryland College Park, MD20742",53e9a7ffb7602d9703143460
Ben Shneiderman,1999,125,"Department of Computer Science University of Maryland College Park, MD20742",53e9a7ffb7602d9703143460
Sedat Ozer,2012,23,"Viz Lab., Rutgers Univ., Piscataway, NJ, USA|c|",53e9a81fb7602d97031660ee
Jishang Wei,2012,23,,53e9a81fb7602d97031660ee
Deborah Silver,2012,23,,53e9a81fb7602d97031660ee
Kwan-Liu Ma,2012,23,,53e9a81fb7602d97031660ee
Pino Martin,2012,23,,53e9a81fb7602d97031660ee
Kirsten Risden,2000,181,"Microsoft Corp, Res, 1 Microsoft Way, Redmond, WA 98052 USA",53e9a832b7602d970317a15b
Mary P. Czerwinski,2000,181,"Microsoft Corporation, Microsoft Research, One Microsoft Way, Redmond, WA, 98052, USAf1marycz@microsoft.com.f1",53e9a832b7602d970317a15b
Tamara Munzner,2000,181,"Stanford Computer Science Department, Microsoft Research, One Microsoft Way, Redmond, WA, 98052, USA",53e9a832b7602d970317a15b
Daniel B. Cook,2000,181,"Microsoft Corporation, One Microsoft Way, Redmond, WA, 98052, USA",53e9a832b7602d970317a15b
Sorelle A. Friedler,2008,21,"Department of Computer Science, University of Maryland, A.V. Williams Building, College Park, MD 20742, USA",53e9a839b7602d970318095d
Yee Lin Tan,2008,21,"Department of Computer Science, University of Maryland, A.V. Williams Building, College Park, MD 20742, USA",53e9a839b7602d970318095d
Nir J. Peer,2008,21,"Department of Computer Science, University of Maryland, A.V. Williams Building, College Park, MD 20742, USA",53e9a839b7602d970318095d
Ben Shneiderman,2008,21,"Department of Computer Science, University of Maryland, A.V. Williams Building, College Park, MD 20742, USA",53e9a839b7602d970318095d
Megan Monroe,2013,67,"University of Maryland, College Park, Maryland, USA",53e9a841b7602d970318b579
Rongjian Lan,2013,67,"University of Maryland, College Park, Maryland, USA",53e9a841b7602d970318b579
Juan Morales del Olmo,2013,67,"HCIL & Universidad Politécnica de Madrid, Pozuelo de Alarcón, Spain",53e9a841b7602d970318b579
Ben Shneiderman,2013,67,"University of Maryland, College Park, Maryland, USA",53e9a841b7602d970318b579
Catherine Plaisant,2013,67,"University of Maryland, College Park, Maryland, USA",53e9a841b7602d970318b579
Jeff Millstein,2013,67,"Oracle Corporation, Broomfield, Colorado, USA",53e9a841b7602d970318b579
Stéphane Marchesin,2010,8,"University of California, Davis",53e9a848b7602d9703193683
Kwan-Liu Ma,2010,8,"University of California, Davis",53e9a848b7602d9703193683
David L. Kao,2000,3,NASA Ames Research Center,53e9a84eb7602d9703196540
Kwan-Liu Ma,2000,3,,53e9a84eb7602d9703196540
Stephen Ingram,2010,131,,53e9a85cb7602d97031a57b8
Tamara Munzner,2010,131,,53e9a85cb7602d97031a57b8
Veronika Irvine,2010,131,,53e9a85cb7602d97031a57b8
Melanie Tory,2010,131,,53e9a85cb7602d97031a57b8
Steven Bergner,2010,131,,53e9a85cb7602d97031a57b8
Torsten Möller,2010,131,,53e9a85cb7602d97031a57b8
Daniel Lewis,2006,2,University of California at Davis,53e9a869b7602d97031b5183
Steve Haroz,2006,2,University of California at Davis,53e9a869b7602d97031b5183
Kwan-Liu Ma,2006,2,University of California at Davis,53e9a869b7602d97031b5183
Huyen Tue Dao,2008,4,"Univ Maryland, College Pk, MD 20742 USA",53e9a878b7602d97031c80b8
Adam L. Bazinet,2008,4,"Univ Maryland, College Pk, MD 20742 USA",53e9a878b7602d97031c80b8
Robin Berthier,2008,4,"Univ Maryland, College Pk, MD 20742 USA",53e9a878b7602d97031c80b8
Ben Shneiderman,2008,4,"Univ Maryland, College Pk, MD 20742 USA",53e9a878b7602d97031c80b8
Eric B. Lum,2001,74,"Dept. of Comput. Sci., California Univ., Davis, CA, USA|c|",53e9a8b7b7602d97032050ba
Kwan-Liu Ma,2001,74,,53e9a8b7b7602d97032050ba
Ben Shneiderman,2004,1,"University of Maryland, MD",53e9a8b8b7602d9703208dea
Alessandro Orso,2004,37,Georgia Institute of Technology,53e9a8b8b7602d970320a22f
James A. Jones,2004,37,Georgia Institute of Technology,53e9a8b8b7602d970320a22f
Mary Jean Harrold,2004,37,Georgia Institute of Technology,53e9a8b8b7602d970320a22f
John Stasko,2004,37,Georgia Institute of Technology,53e9a8b8b7602d970320a22f
Frankie James,2002,8,"SAP Labs, Inc., Palo Alto, CA",53e9a8beb7602d970321169e
Jennifer Lai,2002,8,"IBM Research, Hawthorne, NY",53e9a8beb7602d970321169e
Bernhard Suhm,2002,8,"BBN Technologies, Cambridge, MA",53e9a8beb7602d970321169e
Bruce Balentine,2002,8,Enterprise Integration Group,53e9a8beb7602d970321169e
John Makhoul,2002,8,BBN Technologies,53e9a8beb7602d970321169e
Clifford Nass,2002,8,Stanford University,53e9a8beb7602d970321169e
Ben Shneiderman,2002,8,University of Maryland,53e9a8beb7602d970321169e
Kevin Christian,2000,121,"Department of Computer Science, University of Maryland at College Park, College Park, MD",53e9a8ccb7602d970321d52b
Bill Kules,2000,121,"Department of Computer Science, University of Maryland at College Park, College Park, MD and Takoma Software, Inc., 7006 Poplar Avenue, Takoma Park, MD",53e9a8ccb7602d970321d52b
Ben Shneiderman,2000,121,"Department of Computer Science, University of Maryland at College Park, College Park, MD and Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, Institute for Systems R ...",53e9a8ccb7602d970321d52b
Adel Youssef,2000,121,"Department of Computer Science, University of Maryland at College Park, College Park, MD",53e9a8ccb7602d970321d52b
Tarik Crnovrsanin,2009,14,"Dept. of Comput. Sci., Univ. of California, Davis, CA, USA|c|",53e9a8cdb7602d970321fc6e
Carlos D. Correa,2009,14,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9a8cdb7602d970321fc6e
Kwan-Liu Ma,2009,14,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA",53e9a8cdb7602d970321fc6e
Taowei David Wang,2010,58,"University of Maryland, College Park, MD, USA",53e9a8e3b7602d97032312fe
Krist Wongsuphasawat,2010,58,"University of Maryland, College Park, MD, USA",53e9a8e3b7602d97032312fe
Catherine Plaisant,2010,58,"University of Maryland, College Park, MD, USA",53e9a8e3b7602d97032312fe
Ben Shneiderman,2010,58,"University of Maryland, College Park, MD, USA",53e9a8e3b7602d97032312fe
Rodrigo A. Botafogo,1991,230,"Human-Computer Interaction Laboratory & Department of Computer Science, University of Maryland, College Park, MD",53e9a8f9b7602d970324afbb
Ben Shneiderman,1991,230,"Human-Computer Interaction Laboratory & Department of Computer Science, University of Maryland, College Park, MD",53e9a8f9b7602d970324afbb
Jinwook Seo,2002,400,"University of Maryland, College Park, ",53e9a914b7602d97032652c4
Ben Shneiderman,2002,400,"University of Maryland, College Park, ",53e9a914b7602d97032652c4
Carlos D. Correa,2012,87,"Lawerence Livermore National Laboratory, Livermore",53e9a914b7602d9703265630
Tarik Crnovrsanin,2012,87,"University of California at Davis, Davis",53e9a914b7602d9703265630
Kwan-Liu Ma,2012,87,"University of California at Davis, Davis",53e9a914b7602d9703265630
Yuan Gao,2012,27,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e9a921b7602d970327152b
Panpan Xu,2012,27,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e9a921b7602d970327152b
Lu Lu,2012,27,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e9a921b7602d970327152b
He Liu,2012,27,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e9a921b7602d970327152b
Siyuan Liu,2012,27,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e9a921b7602d970327152b
Huamin Qu,2012,27,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China",53e9a921b7602d970327152b
John Buck,1976,8,"Department of Computer Science, Indiana University, Bloomington, Indiana",53e9a946b7602d97032984f9
Ben Shneiderman,1976,8,"Department of Computer Science, Indiana University, Bloomington, Indiana",53e9a946b7602d97032984f9
Doug Riecken,1995,4,AT&T Bell Laboratories,53e9a946b7602d970329908f
Pattie Maes,1995,4,MIT Media Laboratory,53e9a946b7602d970329908f
Ben Shneiderman,1995,4,University of Maryland,53e9a946b7602d970329908f
David Canfield Smith,1995,4,Apple Computer,53e9a946b7602d970329908f
Kulsoom Abdullah,2005,188,Georgia Tech,53e9a94bb7602d970329dbd7
Chris Lee,2005,188,Georgia Tech,53e9a94bb7602d970329dbd7
Gregory Conti,2005,188,Georgia Tech,53e9a94bb7602d970329dbd7
John A. Copeland,2005,188,Georgia Tech,53e9a94bb7602d970329dbd7
John Stasko,2005,188,Georgia Tech,53e9a94bb7602d970329dbd7
Haixia Zhao,2005,35,University of Maryland,53e9a952b7602d97032a63be
Benjamin K. Smith,2005,35,University of Maryland,53e9a952b7602d97032a63be
Kent Norman,2005,35,University of Maryland,53e9a952b7602d97032a63be
Catherine Plaisant,2005,35,University of Maryland,53e9a952b7602d97032a63be
Ben Shneiderman,2005,35,University of Maryland,53e9a952b7602d97032a63be
Tamara Munzner,2005,1,"University of British Columbia, Vancouver, Canada",53e9a957b7602d97032ac2a4
Matthew O. Ward,2005,1,"Worcester Polytechnic Institute, Worcester, MA",53e9a957b7602d97032ac2a4
Keith A. Butler,2011,4,"Univ of Washinon, Seattle, WA, USA",53e9a95eb7602d97032ba068
Thomas Payne,2011,4,"Univ of Washinon, Seattle, WA, USA",53e9a95eb7602d97032ba068
Ben Shneiderman,2011,4,"Univ of Maryland, College Park, MD, USA",53e9a95eb7602d97032ba068
Patricia Brennan,2011,4,"University of Wisconsin, Madison, WI, USA",53e9a95eb7602d97032ba068
Jiajie Zhang,2011,4,"University of Texas at Houston, Houston, TX, USA",53e9a95eb7602d97032ba068
Andrew J. Hanson,1994,1,"Indiana Univ., IN, USA|c|",53e9a981b7602d97032d9675
Tamara Munzner,1994,1,,53e9a981b7602d97032d9675
George Francis,1994,1,,53e9a981b7602d97032d9675
Gunther H. Weber,2001,49,,53e9a9d8b7602d9703338a78
Oliver Kreylos,2001,49,,53e9a9d8b7602d9703338a78
Terry J. Ligocki,2001,49,,53e9a9d8b7602d9703338a78
John Shalf,2001,49,,53e9a9d8b7602d9703338a78
Hans Hagen,2001,49,,53e9a9d8b7602d9703338a78
Bernd Hamann,2001,49,,53e9a9d8b7602d9703338a78
Kenneth I. Joy,2001,49,,53e9a9d8b7602d9703338a78
Kwan-Liu Ma,2001,49,,53e9a9d8b7602d9703338a78
Catherine Plaisant,2008,51,University of Maryland,53e9a9e6b7602d9703347f22
Georges Grinstein,2008,51,University of Massachusetts Lowell,53e9a9e6b7602d9703347f22
Jean Scholtz,2008,51,Pacific Northwest National Laboratory,53e9a9e6b7602d9703347f22
Mark Whiting,2008,51,Pacific Northwest National Laboratory,53e9a9e6b7602d9703347f22
Theresa O'Connell,2008,51,National Institute of Standards and Technology,53e9a9e6b7602d9703347f22
Sharon Laskowski,2008,51,National Institute of Standards and Technology,53e9a9e6b7602d9703347f22
Lynn Chien,2008,51,Oculus Info,53e9a9e6b7602d9703347f22
Annie Tat,2008,51,Oculus Info,53e9a9e6b7602d9703347f22
William Wright,2008,51,Oculus Info,53e9a9e6b7602d9703347f22
Carsten Görg,2008,51,Georgia Institute of Technology,53e9a9e6b7602d9703347f22
