name,year,citationcount,affiliation
Conglei Shi,2013,25,"Hong Kong University of Science and Technology, Hong Kong, China"
Hong Zhou,2013,25,"Shenzhen University, China"
Huamin Qu,2013,25,"Hong Kong University of Science and Technology, Hong Kong, China"
Aleksander Stompel,2003,119,University of California at Davis
Kwan-Liu Ma,2003,119,University of California at Davis
Eric B. Lum,2003,119,University of California at Davis
James Ahrens,2003,119,Los Alamos National Laboratory
John Patchett,2003,119,Los Alamos National Laboratory
Kwan-Liu Ma,1999,1,"University of California, Davis, CA, USA"
John Van Rosendale,1999,1,"NASA Langley Research Center, Hampton, VA, USA"
Stephen Eick,1999,1,"Illinois Institute of Technology, Chicago, IL, USA"
Bernd Hamann,1999,1,"University of California, Davis, CA, USA"
Philip Heermann,1999,1,
Christopher Johnson,1999,1,"University of Utah, Salt Lake City, UT, USA"
Mike Krogh,1999,1,"Los Alamos National Laboratory, Los Alamos, NM, USA"
Krist Wongsuphasawat,2012,76,"Human-Computer Interaction Lab, University of Maryland, College Park, MD, USA and Department of Computer Science, University of Maryland, College Park, MD, USA"
Catherine Plaisant,2012,76,"Human-Computer Interaction Lab, University of Maryland, College Park, MD, USA"
Meirav Taieb-Maimon,2012,76,"Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Ben Shneiderman,2012,76,"Human-Computer Interaction Lab, University of Maryland, College Park, MD, USA and Department of Computer Science, University of Maryland, College Park, MD, USA"
Christopher Plaue,2009,13,"Georgia Institute of Technology, Atlanta, GA, USA"
John Stasko,2009,13,"Georgia Institute of Technology, Atlanta, GA, USA"
Mark Baloga,2009,13,"Steelcase Inc, Grand Rapids, MI, USA"
Chaoli Wang,2011,59,"Michigan Tech, USA"
Hongfeng Yu,2011,59,"SNL, USA"
Ray W. Grout,2011,59,"NREL, USA"
Kwan-Liu Ma,2011,59,"UC Davis, USA"
Jacqueline H. Chen,2011,59,"SNL, USA"
John R. Goodall,2008,1,Applied Vision Laboratory
Gregory Conti,2008,1,"United States Military Academy, West Point, NY"
Kwan-Liu Ma,2008,1,"University of California, Davis"
Soon Tee Teoh,2004,78,"University of California, Davis"
Kwan-Liu Ma,2004,78,"University of California, Davis"
Shyhtsun Felix Wu,2004,78,"University of California, Davis"
T. J. Jankun-Kelly,2004,78,Mississippi State University
Fangfang Zhou,2010,23,"Information Science and Engineering School, Central South University, Changsha, China"
Ying Zhao,2010,23,"Information Science and Engineering School, Central South University, Changsha, China"
Kwan-Liu Ma,2010,23,"Department of Computer Science, University of California, Davis"
Ben Shneiderman,1982,84,"Univ. of Maryland, College Park"
Glenn Thomas,1982,84,"Kent State Univ., Kent, OH"
Ove Daae Lampe,2009,44,CMR AS and the University of Bergen
Carlos D. Correa,2009,44,UC Davis
Kwan-Liu Ma,2009,44,UC Davis
Helwig Hauser,2009,44,University of Bergen
Chunxia Xiao,2014,3,"Computer School, Wuhan University, Wuhan, Hubei, China"
Meng Liu,2014,3,"Computer School, Wuhan University, Wuhan, Hubei, China"
Donglin Xiao,2014,3,"Computer School, Wuhan University, Wuhan, Hubei, China"
Zhao Dong,2014,3,"Program of Computer Graphics, Cornell University, Ithaca, NY, USA"
Kwan-Liu Ma,2014,3,"Department of Computer Science, University of California, Davis, CA, USA"
Kwan-Liu Ma,1991,34,University of Utah
Michael F. Cohen,1991,34,University of Utah
James S. Painter,1991,34,University of Utah
Kwan-Liu Ma,2008,0,"University of California, Davis"
Issei Fujishiro,2008,0,Tohoku University
Hua Li,2008,0,Chinese Academy of Sciences
Robert Moorhead,2006,16,Mississippi State University
Chris Johnson,2006,16,University of Utah
Tamara Munzner,2006,16,University of British Columbia
Hanspeter Pfister,2006,16,Mitsubishi Electric Research Laboratories
Penny Rheingans,2006,16,University of Maryland
Terry S. Yoo,2006,16,National Institutes of Health
Max L. Wilson,2010,118,"Intelligence, Agents, Multimedia (IAM) Group, School of Electronics and Computer Science, University of Southampton, UK"
Bill Kules,2010,118,"School of Library and Information Science, The Catholic University of America, USA"
m. c. schraefel,2010,118,"Intelligence, Agents, Multimedia (IAM) Group, School of Electronics and Computer Science, University of Southampton, UK"
Ben Shneiderman,2010,118,"Department of Computer Science and Human-Computer Interaction Laboratory, University of Maryland at College Park"
Derek K. Gerstmann,2011,0,"ICRAR, University of Western Australia"
Toby Potter,2011,0,"ICRAR, University of Western Australia"
Michael Houston,2011,0,"Advanced Micro Devices, Inc."
Paul Bourke,2011,0,"iVEC, University of Western Australia"
Andreas Wicenec,2011,0,"ICRAR, University of Western Australia"
Jiansu Pu,2011,22,Hong Kong University of Science and Technology
Panpan Xu,2011,22,Hong Kong University of Science and Technology
Huamin Qu,2011,22,Hong Kong University of Science and Technology
Weiwei Cui,2011,22,Hong Kong University of Science and Technology
Siyuan Liu,2011,22,Hong Kong University of Science and Technology
Lionel Ni,2011,22,Hong Kong University of Science and Technology
Christopher Plaue,2009,29,"Georgia Institute of Technology, Atlanta, GA, USA"
John Stasko,2009,29,"Georgia Institute of Technology, Atlanta, GA, USA"
Lin Zheng,2013,7,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Carlos D. Correa,2013,7,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Kwan-Liu Ma,2013,7,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Carlos D. Correa,2009,111,University of California at Davis
Kwan-Liu Ma,2009,111,University of California at Davis
Tung-Ju Hsieh,2010,20,"Natl Taipei Univ Technol, Taipei, Taiwan"
Cheng-Kai Chen,2010,20,"Univ Calif Davis, Davis, CA USA"
Kwan-Liu Ma,2010,20,"Univ Calif Davis, Davis, CA USA"
Daniel Archambault,2007,230,"Dept. of Comput. Sci., British Columbia Univ., Vancouver, BC"
Tamara Munzner,2007,230,"University of British Columbia, Vancouver, BC"
David Auber,2007,230,"La BRI, University of Bordeaux 1, Talence, France"
Hong Zhou,2008,274,"Computer Science & Engineering Department, The Hong Kong University of Science and Technology, Hong Kong"
Xiaoru Yuan,2008,274,"School of EECS & Key Laboratory of Machine Perception, Peking University, China"
Huamin Qu,2008,274,"Computer Science & Engineering Department, The Hong Kong University of Science and Technology, Hong Kong"
Weiwei Cui,2008,274,"Computer Science & Engineering Department, The Hong Kong University of Science and Technology, Hong Kong"
Baoquan Chen,2008,274,"Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, China"
Ben Shneiderman,1995,2,"Univ. of Maryland, College Park"
Yingcai Wu,2013,50,"University of California, Davis, Davis"
Xiaotong Liu,2013,50,"Microsoft Research Asia, Beijing"
Shixia Liu,2013,50,"Microsoft Research Asia, Beijing"
Kwan-Liu Ma,2013,50,"University of California, Davis, Davis"
He Liu,2011,136,The Hong Kong University of Science and Technology
Yuan Gao,2011,136,The Hong Kong University of Science and Technology
Lu Lu,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
Siyuan Liu,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
Huamin Qu,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
Lionel M. Ni,2011,136,"The Hong Kong University of Science and Technology, Hong Kong, China"
Bill Kules,2006,92,"University of Maryland, College Park, MD"
Jack Kustanowitz,2006,92,"University of Maryland, College Park, MD"
Ben Shneiderman,2006,92,"University of Maryland, College Park, MD"
Wai-Ho Mak,2011,6,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China"
Yingcai Wu,2011,6,"Department of Computer Science, The University of California, Davis, CA"
Ming-Yuen Chan,2011,6,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China"
Huamin Qu,2011,6,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology, Hong Kong, China"
Jae-Wook Ahn,2011,91,"Department of Computer Science and Human-Computer Interaction Lab, University of Maryland, College Park, MD"
Meirav Taieb-Maimon,2011,91,"Ben-Gurion University of the Negev, Beer-Sheva, Israel"
Awalin Sopan,2011,91,"Department of Computer Science and Human-Computer Interaction Lab, University of Maryland, College Park, MD"
Catherine Plaisant,2011,91,"Human-Computer Interaction Lab, University of Maryland, College Park, MD"
Ben Shneiderman,2011,91,"Department of Computer Science and Human-Computer Interaction Lab, University of Maryland, College Park, MD"
Bill Kules,2003,12,"University of Maryland at College Park, College Park, MD"
Ben Shneiderman,2003,12,"University of Maryland at College Park, College Park, MD"
Ben Shneiderman,1978,182,"University of Maryland at College Park, College Park, MD"
Andrew Sears,1991,549,"Department of Computer Science, University of Maryland, College Park, MD 20742 USA"
Ben Shneiderman,1991,549,University of Maryland
Tarik Crnovrsanin,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
Isaac Liao,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
Yingcai Wuy,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
Kwan-Liu Ma,2011,48,"The Visualization and Interface Design Innovation Research Group, University of California, Davis"
Ming-Yuen Chan,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
Huamin Qu,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
Yingcai Wu,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
haibo zhou,2006,26,"Department of Computer Science and Engineering, The Hong Kong University of Science and Technology"
J. Edward Swan II,1999,7,Naval Researchr Lab
Theresa-Marie Rhyne,1999,7,EPA
David H. Laidlaw,1999,7,Brown University
Tamara Munzner,1999,7,"Stanford University, Stanford, CA"
Victoria Interrante,1999,7,"University of Minnesota, Minneapolis, MN"
Sana Malik,2013,47,"University of Maryland, College Park, MD"
Alison Smith,2013,47,"University of Maryland, College Park, MD and DECISIVE ANALYTICS Corporation, Arlington, VA"
Timothy Hawes,2013,47,"DECISIVE ANALYTICS Corporation, Arlington, VA"
Panagis Papadatos,2013,47,"University of Maryland, College Park, MD"
Jianyu Li,2013,47,"University of Maryland, College Park, MD"
Cody Dunne,2013,47,"University of Maryland, College Park, MD"
Ben Shneiderman,2013,47,"University of Maryland, College Park, MD"
Awalin Sopan,2013,12,"Univ Maryland, Dept Comp Sci, 4320 Rowalt Dr, College Pk, MD 20742 USA"
Manuel Freire,2013,12,"Univ Complutense Madrid, Dept Comp Sci, E-28040 Madrid, Spain"
Meirav Taieb-Maimon,2013,12,"Ben Gurion Univ Negev, Dept Informat Syst Engn, IL-84105 Beer Sheva, Israel"
Catherine Plaisant,2013,12,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Jennifer Golbeck,2013,12,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Ben Shneiderman,2013,12,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Eduard Groller,2005,0,IEEE Computer Society
Kwan-Liu Ma,2005,0,"University of California, Davis"
Klaus Mueller,2005,0,IEEE Computer Society
Ben Shneiderman,1988,1,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
John M. Carroll,1988,1,"IBM T J Watson Res Ctr, Yorktown Heights, NY 10598 USA"
Ben Shneiderman,2001,81,"Univ. of Maryland, College Park"
Harry Hochheiser,2001,81,"Univ. of Maryland, College Park"
m. c. schraefel,2009,0,"University of Southampton, Southampton, United Kingdom"
Paul André,2009,0,"University of Southampton, Southampton, United Kingdom"
Ryen White,2009,0,"Microsoft Research, Redmond, WA, USA"
Desney S. Tan,2009,0,"Microsoft Research, Redmond, WA, USA"
Tim Berners-Lee,2009,0,"MIT, Cambridge, USA"
Sunny Consolvo,2009,0,"Intel Research, Seattle, WA, USA"
Robert Jacobs,2009,0,"CS, Tufts, Boston, MA, USA"
Isaac S. Kohane,2009,0,"Harvard Medical School, Cambridge, MA, USA"
Christopher A. Le Dantec,2009,0,"HCC Program, Georgia Tech, USA"
Lena Mamykina,2009,0,"HCC Program, Georgia Tech, USA"
Gary Marsden,2009,0,"CS, Univesity of Cape Town, SA"
Ben Shneiderman,2009,0,"HCIL, UMaryland, College Park, MD, USA"
Peter Szolovits,2009,0,"CSAIL, MIT, Cambridge, MA, USA"
Daniel J. Weitzner,2009,0,"W3C MIT, Cambridge, MA, USA"
Ikuko Takanashi,2002,38,"Inf. Technol. R&D Center, Mitsubishi Electr. Corp., Japan|c|"
Eric B. Lum,2002,38,"Univ. of California, Davis, CA"
Kwan-Liu Ma,2002,38,"Univ. of California, Davis, CA"
Shigeru Muraki,2002,38,"AIST,Japa"
Kwan-Liu Ma,2009,199,"University of California, Davis"
Stoney Jackson,2008,12,"Deptartment of Computer Science and Information Technology, Western New England College, 1215 Wilbraham Rd., Springfield, MA 01119, United States"
Premkumar Devanbu,2008,12,"Deptartment of Computer Science, University of California, Davis, One Shields Ave., Davis, CA 95616, United States"
Kwan-Liu Ma,2008,12,"Deptartment of Computer Science, University of California, Davis, One Shields Ave., Davis, CA 95616, United States"
Ben Shneiderman,1995,55,"Human-Computer Interaction Laboratory and Institute for Systems Research, University of Maryland, College Park, MD"
Carsten Görg,2010,22,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, Atlanta, GA"
Hannah Tipney,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
Karin Verspoor,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
"William A. Baumgartner, Jr.",2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
K. Bretonnel Cohen,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
John Stasko,2010,22,"School of Interactive Computing & GVU Center, Georgia Institute of Technology, Atlanta, GA"
Lawrence E. Hunter,2010,22,"Center for Computational Pharmacology, University of Colorado Denver School of Medicine, Aurora, CO"
Huamin Qu,2000,38,"Center for Visual Computing (CVC) and Department of Computer Science, State University of New York at Stony Brook"
Ming Wan,2000,38,"Center for Visual Computing (CVC) and Department of Computer Science, State University of New York at Stony Brook"
Jiafa Qin,2000,38,"Center for Visual Computing (CVC) and Department of Computer Science, State University of New York at Stony Brook"
Arie Kaufman,2000,38,"Department of Computer Science, State University of New York at Stony Brook, Stony Brook, NY"
Floyd Sykes,1983,5,
Raymund T. Tillman,1983,5,
Ben Shneiderman,1983,5,"University of Maryland, College Park"
Ben Shneiderman,2006,11,"Univ. of Maryland, College Park, MD"
Ann Bishop,2006,11,"University of Illinois, Champaign, IL"
Batya Friedman,2006,11,"Univ. of Washington, Seattle, WA"
Jonathan Lazar,2006,11,"Towson Univ., Towson, MD"
Gary Marsden,2006,11,"Univ. of Cape Town, Cape Town, South Africa"
Cliff Nass,2006,11,"Stanford University, Stanford, CA"
Stephen Ingram,2012,6,
Tamara Munzner,2012,6,
Xiaoru Yuan,2009,201,Key Laboratory of Machine Perception & Peking University
Peihong Guo,2009,201,Key Laboratory of Machine Perception & Peking University
He Xiao,2009,201,Key Laboratory of Machine Perception & Peking University
Hong Zhou,2009,201,Hong Kong University of Science and Technology
Huamin Qu,2009,201,Hong Kong University of Science and Technology
Jonathan McPherson,2004,273,University of California at Davis
Kwan-Liu Ma,2004,273,University of California at Davis
Paul Krystosk,2004,273,Lawrence Livermore National Laboratory
Tony Bartoletti,2004,273,Lawrence Livermore National Laboratory
Marvin Christensen,2004,273,Lawrence Livermore National Laboratory
Ben Shneiderman,1983,1,"University of Maryland, College Park, MD"
Ben Shneiderman,2000,335,"Univ. of Maryland, College Park"
Cheng-Kai Chen,2011,11,"University of California, Davis"
Chris Ho,2011,11,"University of California, Davis"
Carlos Correa,2011,11,"University of California, Davis"
Kwan-Liu Ma,2011,11,"University of California, Davis"
Ahmed Elgamal,2011,11,"University of California, San Diego"
Gary Marchionini,2003,22,UNC-Chapel Hill
Stephanie Haas,2003,22,UNC-Chapel Hill
Catherine Plaisant,2003,22,University of Maryland
Ben Shneiderman,2003,22,University of Maryland
Carol Hert,2003,22,Syracuse University
Yingcai Wu,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
Huamin Qu,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
Hong Zhou,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
Ming-Yuen Chan,2006,15,"Department of Computer Science and Engineering, Hong Kong University of Science and Technology"
Chaoli Wang,2008,32,"Univ. of California-Davis, Davis"
Kwan-Liu Ma,2008,32,"Univ. of California-Davis, Davis"
Hank Childs,2006,96,Lawrence Livermore National Laboratory and University of California at Davis
Mark Duchaineau,2006,96,Lawrence Livermore National Laboratory
Kwan-Liu Ma,2006,96,University of California at Davis
Catherine Plaisant,1995,294,"Maryland Univ., College Park, MD, USA|c|"
David Carr,1995,294,"Maryland Univ., College Park, MD, USA"
Ben Shneiderman,1995,294,"Maryland Univ., College Park, MD, USA"
Kwan-Liu Ma,1991,1,University of Utah
K. Sikorski,1991,1,University of Utah
Kwan-Liu Ma,2001,0,"University of California, Davis"
Syavash Nobarany,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
Louise Oram,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
Vasanth Kumar Rajendran,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
Chi-Hsiang Chen,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
Joanna McGrenere,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
Tamara Munzner,2012,25,"University of British Columbia, Vancouver, British Columbia, Canada"
Yubo Zhang,2012,2,"University of California, Davis"
Zhao Dong,2012,2,Cornell University
Kwan-Liu Ma,2012,2,"University of California, Davis"
Seok-Hee Hong,2007,22,"School of Computer Science and Software Engineering, The University of Western Australia, Crawley, WA 6009, Australia"
Kwan-Liu Ma,2007,22,"University of California, Davis"
Joyce Ma,2012,61,Exploratorium
Isaac Liao,2012,61,"University of California, Davis"
Kwan-Liu Ma,2012,61,"University of California, Davis"
Jennifer Frazier,2012,61,Exploratorium
Anna Tikhonova,2011,34,"University of California, Davis"
Hongfeng Yu,2011,34,Sandia National Laboratories
Carlos D. Correa,2011,34,Lawrence Livermore National Laboratory
Jacqueline H. Chen,2011,34,Sandia National Laboratories
Kwan-Liu Ma,2011,34,"University of California, Davis"
Tamara Munzner,2009,1035,University of British Columbia
Nan Cao,2012,200,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Yu-Ru Lin,2012,200,"Northeastern Univ, Boston, MA USA"
Xiaohua Sun,2012,200,"Tongji Univ, Shanghai, Peoples R China"
David Lazer,2012,200,"Northeastern Univ, Boston, MA USA"
Shixia Liu,2012,200,"Microsoft Research Asia, China"
Huamin Qu,2012,200,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Daniel A. Keim,2004,0,"University of Konstanz, Germany"
Tamara Munzner,2004,0,"Department of Computer and Information Science, University of Constance, 78457 Konstanz, Germany"
Stephen C. North,2004,0,"AT&T Labs Research, Florham Park, NJ"
Ben Shneiderman,1994,54,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742"
Catherine Plaisant,1994,54,"UNIV MARYLAND,DEPT COMP SCI,COLLEGE PK,MD 20742"
Jishang Wei,2011,26,"University of California, Davis, USA"
Hongfeng Yu,2011,26,"Sandia National Laboratories, USA"
Ray W. Grout,2011,26,"National Renewable Energy Laboratory, USA"
Jacqueline H. Chen,2011,26,"Sandia National Laboratories, USA"
Kwan-Liu Ma,2011,26,"University of California, Davis, USA"
Tamara Munzner,1998,152,"Stanford Univ, 360 Gates GS Bldg 3B, Stanford, CA 94305 USA"
Ji Soo Yi,2005,244,"Laboratory for Human-Computer Interaction and Health Care Informatics, School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA"
Rachel Melton,2005,244,"College of Computing/GVU Center, Georgia Institute of Technology, Atlanta, GA"
John Stasko,2005,244,"College of Computing/GVU Center, Georgia Institute of Technology, Atlanta, GA"
Julie A. Jacko,2005,244,"Laboratory for Human-Computer Interaction and Health Care Informatics, School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA"
T. J. Jankun-Kelly,2003,61,"California Univ., Davis, CA, USA"
Oliver Kreylos,2003,61,"California Univ., Davis, CA, USA"
Kwan-Liu Ma,2003,61,"California Univ., Davis, CA, USA"
Bernd Hamann,2003,61,"California Univ., Davis, CA, USA"
Kenneth I. Joy,2003,61,"California Univ., Davis, CA, USA"
John Shalf,2003,61,Lawrence Berkeley National Laboratory
E. Wes Bethel,2003,61,Lawrence Berkeley National Laboratory
Jiansu Pu,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Siyuan Liu,2013,75,"Carnegie Mellon Univ, Pittsburgh, PA 15213 USA"
Ye Ding,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Huamin Qu,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Lionel Ni,2013,75,"Hong Kong Univ Sci & Technol, Hong Kong, Hong Kong, Peoples R China"
Aleks Aris,2007,70,"Computer Science Department & Human-Computer Interaction Lab, University of Maryland, College Park, MD"
Ben Shneiderman,2007,70,"Computer Science Department & Human-Computer Interaction Lab, University of Maryland, College Park, MD"
Jeremy S. Meredith,2001,51,Lawrence Livermore National Laboratory
Kwan-Liu Ma,2001,51,"University of California, Davis"
Kwan-Liu Ma,1997,51,"Institute for Computer Applications in Science and Engineering (ICASE), NASA Langley Research Center, Hampton, Virginia"
Victoria Interrante,1997,51,"Institute for Computer Applications in Science and Engineering (ICASE), NASA Langley Research Center, Hampton, Virginia"
Zhuwen Li,2012,47,"Zhejiang University, Hangzhou"
Song Wang,2012,47,"Zhejiang University, Hangzhou"
Jinhui Yu,2012,47,"Zhejiang University, Hangzhou"
Kwan-Liu Ma,2012,47,"University of California-Davis, Davis"
Jae-wook Ahn,2014,131,"University of Maryland, College Park"
Catherine Plaisant,2014,131,"University of Maryland, College Park"
Ben Shneiderman,2014,131,"University of Maryland, College Park"
Kent L. Norman,1986,118,"Univ. of Maryland, College Park"
Linda J. Weldon,1986,118,"Univ. of Maryland, College Park"
Ben Shneiderman,1986,118,"Univ. of Maryland, College Park"
Anna Tikhonova,2008,40,"Visualization and Interface Design Innovation Lab, University of California at Davis"
Kwan-Liu Ma,2008,40,"Visualization and Interface Design Innovation Lab, University of California at Davis"
Ben Shneiderman,2002,29,"University of Maryland, College Park, MD"
Stuart Card,2002,29,"Xerox PARC, Palo Alto, CA"
Donald A. Norman,2002,29,"Nielsen Norman Group, Northbrook, IL"
Marilyn Tremaine,2002,29,"New Jersey Institute of Technology, University Heights, Newark, NJ"
M. Mitchell Waldrop,2002,29,"Washington, DC"
Wei-Hsien Hsu,2012,9,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Chun-Fu Wang,2012,9,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Kwan-Liu Ma,2012,9,"Univ Calif Davis, Dept Comp Sci, Davis, CA 95616 USA"
Hongfeng Yu,2012,9,"Sandia Natl Labs, Livermore, CA USA"
Jacqueline H. Chen,2012,9,"Sandia Natl Labs, Livermore, CA USA"
Ben Shneiderman,1978,0,"Dept. of Information Systems Management, Univerisity of Maryland, College Park, MD 20742, USA"
Haixia Zhao,2004,82,"University of Maryland, College Park, MD"
Catherine Plaisant,2004,82,"University of Maryland, College Park, MD"
Ben Shneiderman,2004,82,"University of Maryland, College Park, MD"
Ramani Duraiswami,2004,82,"University of Maryland, College Park, MD"
Carlos D. Correa,2008,8,"Univ Calif Davis, VIDI Grp, Davis, CA 95616 USA"
Tarik Crnovrsanin,2008,8,"Univ Calif Davis, VIDI Grp, Davis, CA 95616 USA"
Chris Muelder,2008,8,"Univ Calif Davis, VIDI Grp, Davis, CA 95616 USA"
Zeqian Shen,2008,8,"Univ Calif Davis, VIDI Grp, Davis, CA 95616 USA"
Ryan Armstrong,2008,8,"Univ Calif Davis, VIDI Grp, Davis, CA 95616 USA"
James Shearer,2008,8,"Univ Calif Davis, VIDI Grp, Davis, CA 95616 USA"
Kwan-Liu Ma,2008,8,"Univ Calif Davis, VIDI Grp, Davis, CA 95616 USA"
Kwan-Liu Ma,2000,47,"California Univ., Davis, CA, USA"
Weiwei Cui,2008,406,the Hong Kong University of Science and Technology
Hong Zhou,2008,406,the Hong Kong University of Science and Technology
Huamin Qu,2008,406,the Hong Kong University of Science and Technology
Pak Chung Wong,2008,406,Pacific Northwest National Laboratory
Xiaoming Li,2008,406,Peking University
Ben Shneiderman,2004,275,"University of Maryland, USA"
Z. C. Zheng,1994,34,"NASA,LANGLEY RES CTR,ICASE,HAMPTON,VA 23665"
Kwan-Liu Ma,1994,34,"NASA,LANGLEY RES CTR,ICASE,HAMPTON,VA 23665"
Khoa Doan,1997,36,"Hughes STX Corp, 7701 Greenbelt Rd. Suite 400, Greenbelt MD"
Catherine Plaisant,1997,36,"Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, University of Maryland, College Park, MD"
Ben Shneiderman,1997,36,"Department of Computer Science and Institute for Systems Research, University of Maryland, College Park, MD"
Tom Bruns,1997,36,"Human-Computer Interaction Laboratory, Institute for Advanced Computer Studies, University of Maryland, College Park, MD"
Zeqian Shen,2006,75,"Computer Science Department, University of California, Davis"
Michael Ogawa,2006,75,"Computer Science Department, University of California, Davis"
Soon Tee Teoh,2006,75,"Department of Computer Science, San Jose State University"
Kwan-Liu Ma,2006,75,"Computer Science Department, University of California, Davis"
Tom Peterka,2008,72,Argonne National Laboratory
Hongfeng Yu,2008,72,University of California at Davis
Robert Ross,2008,72,Argonne National Laboratory
Kwan-Liu Ma,2008,72,University of California at Davis
Hon-cheng Wong,2005,0,"Macau University of Science and Technology, Macau"
Huamin Qu,2005,0,"Hong Kong University of Science and Technology, Hong Kong, China"
Un-hong Wong,2005,0,"Macau University of Science and Technology, Macau"
Zesheng Tang,2005,0,"Macau University of Science and Technology, Macau"
Haixia Zhao,2005,44,"University of Maryland, College Park, MD"
Catherine Plaisant,2005,44,"University of Maryland, College Park, MD"
Ben Shneiderman,2005,44,"University of Maryland, College Park, MD"
Irina Ceaparu,2004,463,"University of Maryland, College Park, MD"
Jonathan Lazar,2004,463,"Towson University, Towson, MD"
Katie Bessiere,2004,463,"Carnegie Mellon University, Pittsburgh, PA"
John Robinson,2004,463,"Royal Institute of Technology , Stockholm , and University of"
Ben Shneiderman,2004,463,"Univ Maryland, Dept Comp Sci, College Pk, MD 20742 USA"
Ben Shneiderman,1976,10,"INDIANA UNIV,DEPT COMP SCI,BLOOMINGTON,IN 47401"
Stuart C. Shapiro,1976,10,"INDIANA UNIV,DEPT COMP SCI,BLOOMINGTON,IN 47401"
Ming-Yuen Chan,2008,5,"The Hong Kong University of Science and Technology,"
Wai-Ho Mak,2008,5,"The Hong Kong University of Science and Technology,"
Huamin Qu,2008,5,"The Hong Kong University of Science and Technology,"
Ming Wan,1999,30,"SUNY Stony Brook, Ctr Visual Comp, Stony Brook, NY 11794 USA"
Huamin Qu,1999,30,"SUNY Stony Brook, Ctr Visual Comp, Stony Brook, NY 11794 USA"
Arie Kaufman,1999,30,"SUNY Stony Brook, Ctr Visual Comp, Stony Brook, NY 11794 USA"
Yi-Bo Zhu,2003,43,"Fudan University, Shanghai, China"
Chen-Jia Li,2003,43,"Fudan University, Shanghai, China"
I. Fan Shen,2003,43,"Fudan University, Shanghai, China"
Kwan-Liu Ma,2003,43,University of California at Davis
Aleksander Stompel,2003,43,University of California at Davis
Osamu Iseki,1986,9,"Human-Computer Interaction Laboratory, Center for Automation Research, Department of Computer Science, University of Maryland, College Park, MD"
Ben Shneiderman,1986,9,"Human-Computer Interaction Laboratory, Center for Automation Research, Department of Computer Science, University of Maryland, College Park, MD"
Jinrong Xie,2013,17,University of California-Davis
Hongfeng Yu,2013,17,University of Nebraska-Lincoln
